type,numThreads,chunksize,time,size
Sequential,1,1000,9247342,1000
Parallel,2,0,7051043,1000
OMP_AUTO,2,18446744073709551615,8378059,1000
OMP_STATIC,2,1000,6929237,1000
OMP_STATIC,2,900,7336054,1000
OMP_STATIC,2,800,6495032,1000
OMP_STATIC,2,700,6569433,1000
OMP_STATIC,2,600,6864981,1000
OMP_STATIC,2,500,6775368,1000
OMP_STATIC,2,400,6553431,1000
OMP_STATIC,2,300,6555542,1000
OMP_STATIC,2,200,6545626,1000
OMP_STATIC,2,100,6604570,1000
OMP_STATIC,2,0,6421740,1000
OMP_DYNAMIC,2,1000,6597604,1000
OMP_DYNAMIC,2,900,6715532,1000
OMP_DYNAMIC,2,800,6562722,1000
OMP_DYNAMIC,2,700,6824098,1000
OMP_DYNAMIC,2,600,7048586,1000
OMP_DYNAMIC,2,500,7010350,1000
OMP_DYNAMIC,2,400,6406472,1000
OMP_DYNAMIC,2,300,6628493,1000
OMP_DYNAMIC,2,200,6582685,1000
OMP_DYNAMIC,2,100,6943965,1000
OMP_GUIDED,2,1000,6566010,1000
OMP_GUIDED,2,900,6687757,1000
OMP_GUIDED,2,800,6621357,1000
OMP_GUIDED,2,700,6398664,1000
OMP_GUIDED,2,600,6950616,1000
OMP_GUIDED,2,500,6953813,1000
OMP_GUIDED,2,400,6702177,1000
OMP_GUIDED,2,300,6589616,1000
OMP_GUIDED,2,200,6795035,1000
OMP_GUIDED,2,100,6904157,1000
OMP_GUIDED,2,0,6505562,1000
Parallel,3,0,4194420,1000
OMP_AUTO,3,18446744073709551615,4495034,1000
OMP_STATIC,3,1000,4407571,1000
OMP_STATIC,3,900,4606345,1000
OMP_STATIC,3,800,4650414,1000
OMP_STATIC,3,700,4325091,1000
OMP_STATIC,3,600,4841476,1000
OMP_STATIC,3,500,4492282,1000
OMP_STATIC,3,400,4354300,1000
OMP_STATIC,3,300,4647820,1000
OMP_STATIC,3,200,4556469,1000
OMP_STATIC,3,100,4290446,1000
OMP_STATIC,3,0,4656337,1000
OMP_DYNAMIC,3,1000,4496466,1000
OMP_DYNAMIC,3,900,4384267,1000
OMP_DYNAMIC,3,800,4566119,1000
OMP_DYNAMIC,3,700,4595372,1000
OMP_DYNAMIC,3,600,4248716,1000
OMP_DYNAMIC,3,500,4651988,1000
OMP_DYNAMIC,3,400,4512187,1000
OMP_DYNAMIC,3,300,4348562,1000
OMP_DYNAMIC,3,200,4563991,1000
OMP_DYNAMIC,3,100,4556112,1000
OMP_GUIDED,3,1000,4333361,1000
OMP_GUIDED,3,900,4642544,1000
OMP_GUIDED,3,800,4434407,1000
OMP_GUIDED,3,700,4416061,1000
OMP_GUIDED,3,600,4497371,1000
OMP_GUIDED,3,500,4557994,1000
OMP_GUIDED,3,400,4351566,1000
OMP_GUIDED,3,300,4611999,1000
OMP_GUIDED,3,200,4487270,1000
OMP_GUIDED,3,100,4447658,1000
OMP_GUIDED,3,0,4581490,1000
Parallel,4,0,2923644,1000
OMP_AUTO,4,18446744073709551615,3012574,1000
OMP_STATIC,4,1000,3250284,1000
OMP_STATIC,4,900,3163932,1000
OMP_STATIC,4,800,3095075,1000
OMP_STATIC,4,700,3209213,1000
OMP_STATIC,4,600,3205798,1000
OMP_STATIC,4,500,2981056,1000
OMP_STATIC,4,400,3274251,1000
OMP_STATIC,4,300,3105287,1000
OMP_STATIC,4,200,3075805,1000
OMP_STATIC,4,100,3218791,1000
OMP_STATIC,4,0,3223246,1000
OMP_DYNAMIC,4,1000,3013978,1000
OMP_DYNAMIC,4,900,3292066,1000
OMP_DYNAMIC,4,800,3128133,1000
OMP_DYNAMIC,4,700,3075174,1000
OMP_DYNAMIC,4,600,3207452,1000
OMP_DYNAMIC,4,500,3230367,1000
OMP_DYNAMIC,4,400,3012968,1000
OMP_DYNAMIC,4,300,3274773,1000
OMP_DYNAMIC,4,200,3162528,1000
OMP_DYNAMIC,4,100,3105628,1000
OMP_GUIDED,4,1000,3197224,1000
OMP_GUIDED,4,900,3244439,1000
OMP_GUIDED,4,800,3001247,1000
OMP_GUIDED,4,700,3266018,1000
OMP_GUIDED,4,600,3121345,1000
OMP_GUIDED,4,500,3042286,1000
OMP_GUIDED,4,400,3213545,1000
OMP_GUIDED,4,300,3194381,1000
OMP_GUIDED,4,200,2995602,1000
OMP_GUIDED,4,100,3258968,1000
OMP_GUIDED,4,0,3128556,1000
Sequential,1,900,4377896,900
Parallel,2,0,3689667,900
OMP_AUTO,2,18446744073709551615,4161461,900
OMP_STATIC,2,900,4049664,900
OMP_STATIC,2,800,4221138,900
OMP_STATIC,2,700,4219897,900
OMP_STATIC,2,600,4280443,900
OMP_STATIC,2,500,4336258,900
OMP_STATIC,2,400,4086425,900
OMP_STATIC,2,300,4215611,900
OMP_STATIC,2,200,4158851,900
OMP_STATIC,2,100,4258927,900
OMP_STATIC,2,0,4185898,900
OMP_DYNAMIC,2,900,4319666,900
OMP_DYNAMIC,2,800,4224273,900
OMP_DYNAMIC,2,700,4190649,900
OMP_DYNAMIC,2,600,4104412,900
OMP_DYNAMIC,2,500,4268578,900
OMP_DYNAMIC,2,400,4234829,900
OMP_DYNAMIC,2,300,4362323,900
OMP_DYNAMIC,2,200,4165044,900
OMP_DYNAMIC,2,100,4146092,900
OMP_GUIDED,2,900,4152466,900
OMP_GUIDED,2,800,4232893,900
OMP_GUIDED,2,700,4212791,900
OMP_GUIDED,2,600,4291510,900
OMP_GUIDED,2,500,4173453,900
OMP_GUIDED,2,400,4249299,900
OMP_GUIDED,2,300,4172778,900
OMP_GUIDED,2,200,4231247,900
OMP_GUIDED,2,100,4261659,900
OMP_GUIDED,2,0,4363945,900
Parallel,3,0,2358850,900
OMP_AUTO,3,18446744073709551615,2817726,900
OMP_STATIC,3,900,2743311,900
OMP_STATIC,3,800,2799977,900
OMP_STATIC,3,700,2824191,900
OMP_STATIC,3,600,2810122,900
OMP_STATIC,3,500,2653693,900
OMP_STATIC,3,400,2748565,900
OMP_STATIC,3,300,2730802,900
OMP_STATIC,3,200,2774042,900
OMP_STATIC,3,100,2791002,900
OMP_STATIC,3,0,2894755,900
OMP_DYNAMIC,3,900,2722438,900
OMP_DYNAMIC,3,800,2783017,900
OMP_DYNAMIC,3,700,2788791,900
OMP_DYNAMIC,3,600,2808466,900
OMP_DYNAMIC,3,500,2793079,900
OMP_DYNAMIC,3,400,2804102,900
OMP_DYNAMIC,3,300,2743691,900
OMP_DYNAMIC,3,200,2770941,900
OMP_DYNAMIC,3,100,2741243,900
OMP_GUIDED,3,900,2756711,900
OMP_GUIDED,3,800,2782881,900
OMP_GUIDED,3,700,2791936,900
OMP_GUIDED,3,600,2695870,900
OMP_GUIDED,3,500,2739363,900
OMP_GUIDED,3,400,2761467,900
OMP_GUIDED,3,300,2744291,900
OMP_GUIDED,3,200,2744508,900
OMP_GUIDED,3,100,2796647,900
OMP_GUIDED,3,0,2732094,900
Parallel,4,0,1645740,900
OMP_AUTO,4,18446744073709551615,1889843,900
OMP_STATIC,4,900,1915780,900
OMP_STATIC,4,800,1907038,900
OMP_STATIC,4,700,1991298,900
OMP_STATIC,4,600,1850345,900
OMP_STATIC,4,500,1886072,900
OMP_STATIC,4,400,1900449,900
OMP_STATIC,4,300,1902354,900
OMP_STATIC,4,200,1891679,900
OMP_STATIC,4,100,1948892,900
OMP_STATIC,4,0,1865644,900
OMP_DYNAMIC,4,900,1906452,900
OMP_DYNAMIC,4,800,1939753,900
OMP_DYNAMIC,4,700,1946981,900
OMP_DYNAMIC,4,600,1919072,900
OMP_DYNAMIC,4,500,1934793,900
OMP_DYNAMIC,4,400,1867310,900
OMP_DYNAMIC,4,300,1910586,900
OMP_DYNAMIC,4,200,1882876,900
OMP_DYNAMIC,4,100,1919976,900
OMP_GUIDED,4,900,1917965,900
OMP_GUIDED,4,800,1951902,900
OMP_GUIDED,4,700,1839242,900
OMP_GUIDED,4,600,1903360,900
OMP_GUIDED,4,500,1901168,900
OMP_GUIDED,4,400,1934546,900
OMP_GUIDED,4,300,1907482,900
OMP_GUIDED,4,200,1920950,900
OMP_GUIDED,4,100,1883360,900
OMP_GUIDED,4,0,1887447,900
Sequential,1,800,2945244,800
Parallel,2,0,2077342,800
OMP_AUTO,2,18446744073709551615,2353042,800
OMP_STATIC,2,800,2292438,800
OMP_STATIC,2,700,2270072,800
OMP_STATIC,2,600,2360295,800
OMP_STATIC,2,500,2321331,800
OMP_STATIC,2,400,2404751,800
OMP_STATIC,2,300,2262214,800
OMP_STATIC,2,200,2329335,800
OMP_STATIC,2,100,2270534,800
OMP_STATIC,2,0,2306214,800
OMP_DYNAMIC,2,800,2348728,800
OMP_DYNAMIC,2,700,2371372,800
OMP_DYNAMIC,2,600,2279756,800
OMP_DYNAMIC,2,500,2353096,800
OMP_DYNAMIC,2,400,2226555,800
OMP_DYNAMIC,2,300,2334244,800
OMP_DYNAMIC,2,200,2317612,800
OMP_DYNAMIC,2,100,2369433,800
OMP_GUIDED,2,800,2229286,800
OMP_GUIDED,2,700,2409366,800
OMP_GUIDED,2,600,2232273,800
OMP_GUIDED,2,500,2334833,800
OMP_GUIDED,2,400,2308000,800
OMP_GUIDED,2,300,2375449,800
OMP_GUIDED,2,200,2325117,800
OMP_GUIDED,2,100,2367291,800
OMP_GUIDED,2,0,2230713,800
Parallel,3,0,1339621,800
OMP_AUTO,3,18446744073709551615,1481473,800
OMP_STATIC,3,800,1536348,800
OMP_STATIC,3,700,1495432,800
OMP_STATIC,3,600,1524345,800
OMP_STATIC,3,500,1489530,800
OMP_STATIC,3,400,1601637,800
OMP_STATIC,3,300,1527463,800
OMP_STATIC,3,200,1507342,800
OMP_STATIC,3,100,1497235,800
OMP_STATIC,3,0,1518802,800
OMP_DYNAMIC,3,800,1490285,800
OMP_DYNAMIC,3,700,1541370,800
OMP_DYNAMIC,3,600,1441357,800
OMP_DYNAMIC,3,500,1523548,800
OMP_DYNAMIC,3,400,1475633,800
OMP_DYNAMIC,3,300,1603125,800
OMP_DYNAMIC,3,200,1484842,800
OMP_DYNAMIC,3,100,1501168,800
OMP_GUIDED,3,800,1511884,800
OMP_GUIDED,3,700,1552328,800
OMP_GUIDED,3,600,1475733,800
OMP_GUIDED,3,500,1548150,800
OMP_GUIDED,3,400,1513883,800
OMP_GUIDED,3,300,1581249,800
OMP_GUIDED,3,200,1522432,800
OMP_GUIDED,3,100,1534817,800
OMP_GUIDED,3,0,1487004,800
Parallel,4,0,896439,800
OMP_AUTO,4,18446744073709551615,977647,800
OMP_STATIC,4,800,1027461,800
OMP_STATIC,4,700,986150,800
OMP_STATIC,4,600,1009976,800
OMP_STATIC,4,500,1006678,800
OMP_STATIC,4,400,1020140,800
OMP_STATIC,4,300,974752,800
OMP_STATIC,4,200,1039349,800
OMP_STATIC,4,100,1002854,800
OMP_STATIC,4,0,1064311,800
OMP_DYNAMIC,4,800,1025363,800
OMP_DYNAMIC,4,700,1036069,800
OMP_DYNAMIC,4,600,962183,800
OMP_DYNAMIC,4,500,1068937,800
OMP_DYNAMIC,4,400,1006754,800
OMP_DYNAMIC,4,300,1014123,800
OMP_DYNAMIC,4,200,995531,800
OMP_DYNAMIC,4,100,1022332,800
OMP_GUIDED,4,800,969331,800
OMP_GUIDED,4,700,1038192,800
OMP_GUIDED,4,600,977973,800
OMP_GUIDED,4,500,1044193,800
OMP_GUIDED,4,400,972750,800
OMP_GUIDED,4,300,1064936,800
OMP_GUIDED,4,200,972796,800
OMP_GUIDED,4,100,1044597,800
OMP_GUIDED,4,0,955026,800
Sequential,1,700,1816683,700
Parallel,2,0,985100,700
OMP_AUTO,2,18446744073709551615,1081477,700
OMP_STATIC,2,700,1067233,700
OMP_STATIC,2,600,1067079,700
OMP_STATIC,2,500,1110346,700
OMP_STATIC,2,400,1084703,700
OMP_STATIC,2,300,1104277,700
OMP_STATIC,2,200,1026269,700
OMP_STATIC,2,100,1068540,700
OMP_STATIC,2,0,1135099,700
OMP_DYNAMIC,2,700,1139057,700
OMP_DYNAMIC,2,600,1077582,700
OMP_DYNAMIC,2,500,1051755,700
OMP_DYNAMIC,2,400,1147866,700
OMP_DYNAMIC,2,300,1102486,700
OMP_DYNAMIC,2,200,1093652,700
OMP_DYNAMIC,2,100,1097815,700
OMP_GUIDED,2,700,1091202,700
OMP_GUIDED,2,600,1098754,700
OMP_GUIDED,2,500,1107263,700
OMP_GUIDED,2,400,1091834,700
OMP_GUIDED,2,300,1057531,700
OMP_GUIDED,2,200,1082679,700
OMP_GUIDED,2,100,1036997,700
OMP_GUIDED,2,0,1067810,700
Parallel,3,0,623637,700
OMP_AUTO,3,18446744073709551615,715530,700
OMP_STATIC,3,700,709943,700
OMP_STATIC,3,600,722849,700
OMP_STATIC,3,500,720722,700
OMP_STATIC,3,400,709526,700
OMP_STATIC,3,300,722048,700
OMP_STATIC,3,200,722243,700
OMP_STATIC,3,100,752975,700
OMP_STATIC,3,0,751019,700
OMP_DYNAMIC,3,700,689869,700
OMP_DYNAMIC,3,600,766508,700
OMP_DYNAMIC,3,500,728309,700
OMP_DYNAMIC,3,400,741919,700
OMP_DYNAMIC,3,300,736183,700
OMP_DYNAMIC,3,200,722126,700
OMP_DYNAMIC,3,100,716196,700
OMP_GUIDED,3,700,739469,700
OMP_GUIDED,3,600,711786,700
OMP_GUIDED,3,500,727118,700
OMP_GUIDED,3,400,782964,700
OMP_GUIDED,3,300,732062,700
OMP_GUIDED,3,200,729390,700
OMP_GUIDED,3,100,741493,700
OMP_GUIDED,3,0,743902,700
Parallel,4,0,429780,700
OMP_AUTO,4,18446744073709551615,486502,700
OMP_STATIC,4,700,528895,700
OMP_STATIC,4,600,509258,700
OMP_STATIC,4,500,525841,700
OMP_STATIC,4,400,509100,700
OMP_STATIC,4,300,504523,700
OMP_STATIC,4,200,505703,700
OMP_STATIC,4,100,504402,700
OMP_STATIC,4,0,524009,700
OMP_DYNAMIC,4,700,499911,700
OMP_DYNAMIC,4,600,513844,700
OMP_DYNAMIC,4,500,517249,700
OMP_DYNAMIC,4,400,518681,700
OMP_DYNAMIC,4,300,543263,700
OMP_DYNAMIC,4,200,528066,700
OMP_DYNAMIC,4,100,522454,700
OMP_GUIDED,4,700,526426,700
OMP_GUIDED,4,600,513359,700
OMP_GUIDED,4,500,502829,700
OMP_GUIDED,4,400,515039,700
OMP_GUIDED,4,300,506199,700
OMP_GUIDED,4,200,513393,700
OMP_GUIDED,4,100,519379,700
OMP_GUIDED,4,0,548158,700
Sequential,1,600,952466,600
Parallel,2,0,530134,600
OMP_AUTO,2,18446744073709551615,599019,600
OMP_STATIC,2,600,591458,600
OMP_STATIC,2,500,593737,600
OMP_STATIC,2,400,593972,600
OMP_STATIC,2,300,593250,600
OMP_STATIC,2,200,591552,600
OMP_STATIC,2,100,597168,600
OMP_STATIC,2,0,598084,600
OMP_DYNAMIC,2,600,601029,600
OMP_DYNAMIC,2,500,584702,600
OMP_DYNAMIC,2,400,598117,600
OMP_DYNAMIC,2,300,591425,600
OMP_DYNAMIC,2,200,591804,600
OMP_DYNAMIC,2,100,623286,600
OMP_GUIDED,2,600,605998,600
OMP_GUIDED,2,500,612981,600
OMP_GUIDED,2,400,601905,600
OMP_GUIDED,2,300,600203,600
OMP_GUIDED,2,200,592085,600
OMP_GUIDED,2,100,592739,600
OMP_GUIDED,2,0,605519,600
Parallel,3,0,354506,600
OMP_AUTO,3,18446744073709551615,401463,600
OMP_STATIC,3,600,402320,600
OMP_STATIC,3,500,396794,600
OMP_STATIC,3,400,420621,600
OMP_STATIC,3,300,407370,600
OMP_STATIC,3,200,397171,600
OMP_STATIC,3,100,396518,600
OMP_STATIC,3,0,416453,600
OMP_DYNAMIC,3,600,402804,600
OMP_DYNAMIC,3,500,402223,600
OMP_DYNAMIC,3,400,403524,600
OMP_DYNAMIC,3,300,399229,600
OMP_DYNAMIC,3,200,395044,600
OMP_DYNAMIC,3,100,403179,600
OMP_GUIDED,3,600,413443,600
OMP_GUIDED,3,500,401008,600
OMP_GUIDED,3,400,402097,600
OMP_GUIDED,3,300,397325,600
OMP_GUIDED,3,200,397941,600
OMP_GUIDED,3,100,412193,600
OMP_GUIDED,3,0,406385,600
Parallel,4,0,250714,600
OMP_AUTO,4,18446744073709551615,295496,600
OMP_STATIC,4,600,298351,600
OMP_STATIC,4,500,294487,600
OMP_STATIC,4,400,292223,600
OMP_STATIC,4,300,295999,600
OMP_STATIC,4,200,293657,600
OMP_STATIC,4,100,296384,600
OMP_STATIC,4,0,299588,600
OMP_DYNAMIC,4,600,299651,600
OMP_DYNAMIC,4,500,300151,600
OMP_DYNAMIC,4,400,297835,600
OMP_DYNAMIC,4,300,300490,600
OMP_DYNAMIC,4,200,299859,600
OMP_DYNAMIC,4,100,299616,600
OMP_GUIDED,4,600,304968,600
OMP_GUIDED,4,500,299825,600
OMP_GUIDED,4,400,299999,600
OMP_GUIDED,4,300,302312,600
OMP_GUIDED,4,200,304697,600
OMP_GUIDED,4,100,299819,600
OMP_GUIDED,4,0,302441,600
Sequential,1,500,538124,500
Parallel,2,0,306894,500
OMP_AUTO,2,18446744073709551615,346860,500
OMP_STATIC,2,500,336990,500
OMP_STATIC,2,400,341537,500
OMP_STATIC,2,300,340971,500
OMP_STATIC,2,200,340486,500
OMP_STATIC,2,100,341404,500
OMP_STATIC,2,0,344188,500
OMP_DYNAMIC,2,500,343670,500
OMP_DYNAMIC,2,400,339640,500
OMP_DYNAMIC,2,300,340707,500
OMP_DYNAMIC,2,200,341311,500
OMP_DYNAMIC,2,100,340148,500
OMP_GUIDED,2,500,338034,500
OMP_GUIDED,2,400,339132,500
OMP_GUIDED,2,300,343731,500
OMP_GUIDED,2,200,338602,500
OMP_GUIDED,2,100,340557,500
OMP_GUIDED,2,0,341372,500
Parallel,3,0,197250,500
OMP_AUTO,3,18446744073709551615,238556,500
OMP_STATIC,3,500,228273,500
OMP_STATIC,3,400,231010,500
OMP_STATIC,3,300,226328,500
OMP_STATIC,3,200,229387,500
OMP_STATIC,3,100,225936,500
OMP_STATIC,3,0,229902,500
OMP_DYNAMIC,3,500,228734,500
OMP_DYNAMIC,3,400,227812,500
OMP_DYNAMIC,3,300,227478,500
OMP_DYNAMIC,3,200,233755,500
OMP_DYNAMIC,3,100,228669,500
OMP_GUIDED,3,500,227942,500
OMP_GUIDED,3,400,226929,500
OMP_GUIDED,3,300,231854,500
OMP_GUIDED,3,200,227715,500
OMP_GUIDED,3,100,230410,500
OMP_GUIDED,3,0,237681,500
Parallel,4,0,146087,500
OMP_AUTO,4,18446744073709551615,173586,500
OMP_STATIC,4,500,173968,500
OMP_STATIC,4,400,173897,500
OMP_STATIC,4,300,170842,500
OMP_STATIC,4,200,172697,500
OMP_STATIC,4,100,170121,500
OMP_STATIC,4,0,170049,500
OMP_DYNAMIC,4,500,171733,500
OMP_DYNAMIC,4,400,173232,500
OMP_DYNAMIC,4,300,171054,500
OMP_DYNAMIC,4,200,172721,500
OMP_DYNAMIC,4,100,171911,500
OMP_GUIDED,4,500,172646,500
OMP_GUIDED,4,400,208527,500
OMP_GUIDED,4,300,171379,500
OMP_GUIDED,4,200,171284,500
OMP_GUIDED,4,100,174353,500
OMP_GUIDED,4,0,172778,500
Sequential,1,400,275111,400
Parallel,2,0,143122,400
OMP_AUTO,2,18446744073709551615,178941,400
OMP_STATIC,2,400,167329,400
OMP_STATIC,2,300,173428,400
OMP_STATIC,2,200,168723,400
OMP_STATIC,2,100,171425,400
OMP_STATIC,2,0,163673,400
OMP_DYNAMIC,2,400,175268,400
OMP_DYNAMIC,2,300,166447,400
OMP_DYNAMIC,2,200,172695,400
OMP_DYNAMIC,2,100,168318,400
OMP_GUIDED,2,400,173002,400
OMP_GUIDED,2,300,165290,400
OMP_GUIDED,2,200,173310,400
OMP_GUIDED,2,100,166339,400
OMP_GUIDED,2,0,171709,400
Parallel,3,0,96944,400
OMP_AUTO,3,18446744073709551615,116274,400
OMP_STATIC,3,400,113425,400
OMP_STATIC,3,300,117744,400
OMP_STATIC,3,200,113231,400
OMP_STATIC,3,100,115268,400
OMP_STATIC,3,0,114582,400
OMP_DYNAMIC,3,400,115438,400
OMP_DYNAMIC,3,300,112206,400
OMP_DYNAMIC,3,200,115877,400
OMP_DYNAMIC,3,100,112674,400
OMP_GUIDED,3,400,114397,400
OMP_GUIDED,3,300,112904,400
OMP_GUIDED,3,200,117213,400
OMP_GUIDED,3,100,112603,400
OMP_GUIDED,3,0,112691,400
Parallel,4,0,74151,400
OMP_AUTO,4,18446744073709551615,84957,400
OMP_STATIC,4,400,84580,400
OMP_STATIC,4,300,84865,400
OMP_STATIC,4,200,105975,400
OMP_STATIC,4,100,84946,400
OMP_STATIC,4,0,86652,400
OMP_DYNAMIC,4,400,86618,400
OMP_DYNAMIC,4,300,94019,400
OMP_DYNAMIC,4,200,85113,400
OMP_DYNAMIC,4,100,84949,400
OMP_GUIDED,4,400,86022,400
OMP_GUIDED,4,300,84946,400
OMP_GUIDED,4,200,84608,400
OMP_GUIDED,4,100,84920,400
OMP_GUIDED,4,0,86515,400
Sequential,1,300,110642,300
Parallel,2,0,60465,300
OMP_AUTO,2,18446744073709551615,66957,300
OMP_STATIC,2,300,67654,300
OMP_STATIC,2,200,67381,300
OMP_STATIC,2,100,66109,300
OMP_STATIC,2,0,68672,300
OMP_DYNAMIC,2,300,69332,300
OMP_DYNAMIC,2,200,66674,300
OMP_DYNAMIC,2,100,68534,300
OMP_GUIDED,2,300,68992,300
OMP_GUIDED,2,200,66500,300
OMP_GUIDED,2,100,68022,300
OMP_GUIDED,2,0,68337,300
Parallel,3,0,38883,300
OMP_AUTO,3,18446744073709551615,45069,300
OMP_STATIC,3,300,44113,300
OMP_STATIC,3,200,45355,300
OMP_STATIC,3,100,45585,300
OMP_STATIC,3,0,45412,300
OMP_DYNAMIC,3,300,44665,300
OMP_DYNAMIC,3,200,44326,300
OMP_DYNAMIC,3,100,45051,300
OMP_GUIDED,3,300,45457,300
OMP_GUIDED,3,200,44692,300
OMP_GUIDED,3,100,44111,300
OMP_GUIDED,3,0,45151,300
Parallel,4,0,30197,300
OMP_AUTO,4,18446744073709551615,34384,300
OMP_STATIC,4,300,33846,300
OMP_STATIC,4,200,33958,300
OMP_STATIC,4,100,34091,300
OMP_STATIC,4,0,33624,300
OMP_DYNAMIC,4,300,35120,300
OMP_DYNAMIC,4,200,35557,300
OMP_DYNAMIC,4,100,34540,300
OMP_GUIDED,4,300,34009,300
OMP_GUIDED,4,200,33786,300
OMP_GUIDED,4,100,35325,300
OMP_GUIDED,4,0,36491,300
Sequential,1,200,31501,200
Parallel,2,0,16580,200
OMP_AUTO,2,18446744073709551615,18492,200
OMP_STATIC,2,200,18955,200
OMP_STATIC,2,100,18698,200
OMP_STATIC,2,0,19099,200
OMP_DYNAMIC,2,200,19712,200
OMP_DYNAMIC,2,100,19280,200
OMP_GUIDED,2,200,19615,200
OMP_GUIDED,2,100,18717,200
OMP_GUIDED,2,0,19034,200
Parallel,3,0,11499,200
OMP_AUTO,3,18446744073709551615,12711,200
OMP_STATIC,3,200,12616,200
OMP_STATIC,3,100,12475,200
OMP_STATIC,3,0,12497,200
OMP_DYNAMIC,3,200,12459,200
OMP_DYNAMIC,3,100,12863,200
OMP_GUIDED,3,200,12876,200
OMP_GUIDED,3,100,12809,200
OMP_GUIDED,3,0,12855,200
Parallel,4,0,9447,200
OMP_AUTO,4,18446744073709551615,10081,200
OMP_STATIC,4,200,9656,200
OMP_STATIC,4,100,9642,200
OMP_STATIC,4,0,10228,200
OMP_DYNAMIC,4,200,10010,200
OMP_DYNAMIC,4,100,9721,200
OMP_GUIDED,4,200,9482,200
OMP_GUIDED,4,100,9503,200
OMP_GUIDED,4,0,9501,200
Sequential,1,100,3592,100
Parallel,2,0,2032,100
OMP_AUTO,2,18446744073709551615,2064,100
OMP_STATIC,2,100,2132,100
OMP_STATIC,2,0,2109,100
OMP_DYNAMIC,2,100,2119,100
OMP_GUIDED,2,100,2091,100
OMP_GUIDED,2,0,2125,100
Parallel,3,0,1489,100
OMP_AUTO,3,18446744073709551615,1632,100
OMP_STATIC,3,100,1424,100
OMP_STATIC,3,0,1501,100
OMP_DYNAMIC,3,100,1404,100
OMP_GUIDED,3,100,1415,100
OMP_GUIDED,3,0,1432,100
Parallel,4,0,2222,100
OMP_AUTO,4,18446744073709551615,1143,100
OMP_STATIC,4,100,1067,100
OMP_STATIC,4,0,1069,100
OMP_DYNAMIC,4,100,1070,100
OMP_GUIDED,4,100,1091,100
OMP_GUIDED,4,0,1396,100
